project_name,ifc_file,window_area_m2,floor_area_m2,roof_area_m2,true_north_angle_deg,latitude,longitude,error
4351,arc.ifc,10.8697,,,,,,
ac20,arc.ifc,309.5,1939.3839,688.7667,0.0,49.15,8.716667,
city_house_munich,arc.ifc,29.5085,,,32.56,48.187378,11.47271,
dental_clinic,arc.ifc,100.63,,,,42.358429,-71.059776,
dental_clinic,mep.ifc,,,,,,,
dental_clinic,str.ifc,,,,,42.358429,-71.059776,
digital_hub,arc.ifc,375.0,2842.1215,,360.0,48.1376,11.57994,
digital_hub,heating.ifc,,,,360.0,48.1376,11.57994,
digital_hub,plumbing.ifc,,,,360.0,48.1376,11.57994,
digital_hub,ventilation.ifc,,,,360.0,48.1376,11.57994,
duplex,arc.ifc,65.9415,,,,41.8744,-87.6394,
duplex,mep.ifc,,,,,41.8744,-87.6394,
ettenheim_gis,city.ifc,725.9732,,,,,,
fantasy_hotel_1,arc.ifc,58.7815,,,360.0,42.358723,-71.056763,
fantasy_hotel_2,arc.ifc,400.305,,,360.0,42.358723,-71.056763,
fantasy_office_building_1,arc.ifc,156.816,1257.0688,339.9228,360.0,48.139126,11.580186,
fantasy_office_building_2,arc.ifc,142.91,716.0568,419.5723,360.0,48.1376,11.57994,
fantasy_office_building_3,arc.ifc,984.96,,,360.0,48.148853,11.567998,
fantasy_residential_building_1,arc.ifc,19.563,,,360.0,48.139126,11.580186,
fzk_house,arc.ifc,23.1702,173.3424,165.1222,310.0,49.100435,8.436539,
hitos,arc.ifc,1531.3183,,,360.0,69.666667,18.833333,
molio,arc.ifc,,140.7827,,0.0,55.667574,12.619383,
samuel_macalister_sample_house,arc.ifc,61.6407,,,323.0,42.213,-71.0335,
samuel_macalister_sample_house,mep.ifc,,,,26.62,51.45,5.483333,
schependomlaan,arc.ifc,,,,,,,
sixty5,arc.ifc,4901.1499,0.0,,0.0,51.45,5.483333,
sixty5,electrical.ifc,,,,360.0,42.387,-71.242,
sixty5,facade.ifc,,,,0.0,51.45,5.483333,
sixty5,kitchen.ifc,,,,270.0,0.0,0.0,
sixty5,plumbing.ifc,,,,360.0,42.387,-71.242,
sixty5,str.ifc,,34199.084,,360.0,42.387,-71.242,
sixty5,ventilation.ifc,,,,360.0,42.387,-71.242,
smiley_west,arc.ifc,95.9195,1821.1689,614.4088,147.5,49.033245,8.39098,
wbdg_office,arc.ifc,124.5,,,,42.358429,-71.059776,
wbdg_office,mep.ifc,,,,,42.358429,-71.059776,
wbdg_office,str.ifc,,,,,42.358429,-71.059776,
